date,amount
10/02/2026,9.4
11/02/2026,9
11/02/2026,2.2
11/02/2026,550
13/02/2026,"46000.00"
13/02/2026,202
13/02/2026,30
15/02/2026,220
16/02/2026,13
18/02/2026,11.2
19/02/2026,"1770.00"
20/02/2026,40
21/02/2026,220
21/02/2026,205
21/02/2026,320
21/02/2026,32
21/02/2026,8
21/02/2026,250
21/02/2026,499
22/02/2026,400
23/02/2026,"3585.00"
23/02/2026,"19350.00"
23/02/2026,"7640.00"
23/02/2026,195
23/02/2026,200
23/02/2026,850
24/02/2026,317
24/02/2026,"1427.00"
24/02/2026,68
24/02/2026,40
24/02/2026,599
24/02/2026,60
24/02/2026,"3186.00"
26/02/2026,15
26/02/2026,129
26/02/2026,160
27/02/2026,135
28/02/2026,"1000.00"
28/02/2026,70
28/02/2026,960
28/02/2026,588
01/03/2026,"6237.00"
01/03/2026,834
01/03/2026,"23000.00"
01/03/2026,80
01/03/2026,111
02/03/2026,9.2
02/03/2026,2.2
02/03/2026,"1000.00"
02/03/2026,191
02/03/2026,480
03/03/2026,11.4
03/03/2026,280
03/03/2026,430
03/03/2026,43
03/03/2026,126
04/03/2026,11
04/03/2026,"1958.00"
04/03/2026,"2105.00"
04/03/2026,300
04/03/2026,132.1
04/03/2026,244
04/03/2026,135
05/03/2026,276
05/03/2026,400
05/03/2026,517
05/03/2026,126
05/03/2026,75
06/03/2026,111
07/03/2026,111
07/03/2026,75
07/03/2026,140
07/03/2026,"1189.00"
07/03/2026,220
07/03/2026,85
07/03/2026,320
08/03/2026,111
08/03/2026,"1444.00"
09/03/2026,11.4
09/03/2026,111
10/03/2026,13.4
10/03/2026,111
10/03/2026,355
11/03/2026,111
12/03/2026,111
13/03/2026,350
13/03/2026,186
13/03/2026,"1500.00"
15/03/2026,55
16/03/2026,11.4
17/03/2026,11.4
17/03/2026,411
17/03/2026,"1200.00"
20/03/2026,600
20/03/2026,270
21/03/2026,250
21/03/2026,250
21/03/2026,234
21/03/2026,294.62
21/03/2026,"1775.00"
21/03/2026,"4045.00"
21/03/2026,745
21/03/2026,"3475.00"
21/03/2026,"1229.00"
21/03/2026,630
21/03/2026,5
22/03/2026,315
22/03/2026,106
22/03/2026,"4520.00"
23/03/2026,11.4
23/03/2026,294
23/03/2026,200
23/03/2026,124.66
24/03/2026,11.4
24/03/2026,120
25/03/2026,11.4
25/03/2026,"5000.00"
25/03/2026,149
26/03/2026,11.4
26/03/2026,260
26/03/2026,10
27/03/2026,95
27/03/2026,115
28/03/2026,436
28/03/2026,30
29/03/2026,630
30/03/2026,284
31/03/2026,"1000.00"
31/03/2026,"4361.00"
31/03/2026,81
31/03/2026,22
31/03/2026,300
